"","shifted_lockdown"
"1",0
"2",0.000463891045290167
"3",0.000648625890555351
"4",0.000748993043322471
"5",0.000863577040441912
"6",0.000962776577753815
"7",0.00111188177501591
"8",0.00124742679043245
"9",0.00135679802921739
"10",0.00140580522021185
"11",0.00149540738291711
"12",0.00157235724059568
"13",0.00166214217562946
"14",0.00175477605493316
"15",0.00182678439137279
"16",0.00187138904801038
"17",0.00194641523027531
"18",0.00204366348759778
"19",0.0021231666381762
"20",0.00224061638830729
"21",0.00232898166865392
"22",0.00241031489301342
"23",0.00253285477859909
"24",0.00260223884194035
"25",0.00263353544443096
"26",0.00273637759591399
"27",0.00283793696174871
"28",0.00292198788987865
"29",0.00297013091339967
"30",0.00306790553385043
"31",0.00313901697637147
"32",0.0032674137154723
"33",0.00336756404153225
"34",0.00339636157247442
"35",0.00350204235546423
"36",0.00359495712385328
"37",0.00370177243516656
"38",0.00380615091699473
"39",0.00389069514339653
"40",0.00392189933942918
"41",0.00401116319872756
"42",0.00410091101649911
"43",0.00413446433887134
"44",0.00416704600784167
"45",0.00422612197968549
"46",0.00430730844843137
"47",0.00436795634824928
"48",0.00447484148444833
"49",0.00463935350757233
"50",0.00469059696452112
"51",0.00473188709916738
"52",0.00483654429529169
"53",0.00488483560951077
"54",0.00493672339971894
"55",0.00511996145857768
"56",0.00524596531761103
"57",0.00543623626957345
"58",0.00556477681877104
"59",0.00565656071492904
"60",0.00576680438929912
"61",0.0059174787395695
"62",0.00603494847010424
"63",0.00618331427017669
"64",0.00637771286681138
"65",0.00644729280900245
"66",0.00658532028863795
"67",0.0066866738335529
"68",0.0067988893635814
"69",0.00691137314623246
"70",0.00707296784271106
"71",0.00725273144781051
"72",0.00745193089806361
"73",0.00754679106229692
"74",0.00769253790424678
"75",0.00783477092530412
"76",0.00802236653996531
"77",0.00817496615859298
"78",0.0082801344217237
"79",0.00839390966340257
"80",0.0086333793687535
"81",0.00868831112138597
"82",0.00891015070927891
"83",0.00905138642326812
"84",0.00923954383033804
"85",0.0093830035166129
"86",0.00946991028107782
"87",0.00960616750068784
"88",0.00971402671233666
"89",0.00974858474821018
"90",0.00995475304121318
"91",0.0100460301396454
"92",0.010190463965685
"93",0.0104933329601794
"94",0.0106689900855137
"95",0.0107753922452745
"96",0.0109564818313034
"97",0.0111491074068812
"98",0.0113547578974185
"99",0.01153537487572
"100",0.0117225657255634
"101",0.0118304729293648
"102",0.0120400743550401
"103",0.0122109248687598
"104",0.0124183620658876
"105",0.0126833630419415
"106",0.0128838762748553
"107",0.013196284925704
"108",0.013310511719495
"109",0.0135646109053251
"110",0.0137976696004742
"111",0.0139948715488377
"112",0.0142351503293921
"113",0.0145067410027591
"114",0.0147734908964754
"115",0.014907166604325
"116",0.0151992417296568
"117",0.0154087430583133
"118",0.0155507073110061
"119",0.015726578314042
"120",0.0159106147413241
"121",0.0163575648925706
"122",0.0167286896512978
"123",0.0170651165662861
"124",0.0173215360880774
"125",0.0175837747886088
"126",0.0177773387674191
"127",0.018111450828085
"128",0.0183058840789767
"129",0.018565933445786
"130",0.0188965012517
"131",0.0192121925739188
"132",0.0195775057794183
"133",0.0199101316616219
"134",0.0203971230168325
"135",0.0207874090684037
"136",0.0210809782080922
"137",0.0213085581076079
"138",0.021744300708503
"139",0.0220652682998882
"140",0.022305115666467
"141",0.0227012058739672
"142",0.0230207679321256
"143",0.0234361823055681
"144",0.0239469276800115
"145",0.0245312461852258
"146",0.0249114884910515
"147",0.0254143014002133
"148",0.0259440177160397
"149",0.0265018165562744
"150",0.0269818467002613
"151",0.0275197144916755
"152",0.027980401389165
"153",0.0285098124363115
"154",0.0291130462007499
"155",0.0297291420060254
"156",0.0304420189792493
"157",0.0309643569706711
"158",0.0315996437226911
"159",0.0321595814681859
"160",0.0328552878295611
"161",0.0335654237995589
"162",0.0340855604370852
"163",0.0349296965350136
"164",0.0356192099537487
"165",0.0364009604395714
"166",0.037202079465184
"167",0.0378380629343763
"168",0.0388305707751713
"169",0.0396528620138166
"170",0.0403165119560651
"171",0.0412819773826554
"172",0.0421912187292143
"173",0.0432354840337376
"174",0.0441413829275861
"175",0.0451597391464152
"176",0.0461462426240531
"177",0.0472300150832204
"178",0.0481922910103925
"179",0.0490619367151049
"180",0.0501050351116679
"181",0.0512038397916666
"182",0.0523091065192062
"183",0.0535468855664029
"184",0.054640874294379
"185",0.0556441702560162
"186",0.05675858718201
"187",0.0579411910380032
"188",0.0591601793517115
"189",0.0605262492258021
"190",0.0618118686483718
"191",0.0631974339719459
"192",0.0647255104798961
"193",0.0662350725470731
"194",0.0676622276194623
"195",0.0691376376257476
"196",0.0707291023189851
"197",0.072364645570435
"198",0.073994037130129
"199",0.0757919810755566
"200",0.077596628815917
"201",0.0793510055134912
"202",0.0813511377402142
"203",0.0833575753620854
"204",0.0854951042427954
"205",0.087542157313268
"206",0.0895538949235772
"207",0.0917865878867652
"208",0.0940157948172272
"209",0.0963405857857349
"210",0.0986632742177792
"211",0.101094863877778
"212",0.103548384166782
"213",0.105883190950077
"214",0.108415198935561
"215",0.111157103604346
"216",0.113749128821573
"217",0.116495312812873
"218",0.119362602481497
"219",0.122253619289374
"220",0.125043888650911
"221",0.12816282811349
"222",0.131387337740904
"223",0.134518375084878
"224",0.137716139230722
"225",0.141011743939285
"226",0.144443189308976
"227",0.147884800028193
"228",0.151491246370979
"229",0.155089167290535
"230",0.15893103503198
"231",0.162835709722487
"232",0.166779047360104
"233",0.170960134671191
"234",0.175184495347231
"235",0.179621696083228
"236",0.184268518315532
"237",0.188929359735375
"238",0.193737799187168
"239",0.19859151990649
"240",0.203549102638096
"241",0.208732069757957
"242",0.214048668749202
"243",0.219580308518909
"244",0.225061475904808
"245",0.230860428506524
"246",0.236627762368715
"247",0.242522952704279
"248",0.248629547731042
"249",0.254913477634326
"250",0.261406190730078
"251",0.267995514894325
"252",0.274678799585339
"253",0.281721166052297
"254",0.288823803763406
"255",0.296043012146424
"256",0.303586943062117
"257",0.311293504600587
"258",0.319178645397721
"259",0.327306113721278
"260",0.335458044458307
"261",0.344027808675125
"262",0.352778276906235
"263",0.3619065939519
"264",0.37120597734178
"265",0.380708946792443
"266",0.390201763084045
"267",0.400044075297188
"268",0.410447397204153
"269",0.421065788386017
"270",0.431780357590267
"271",0.442666781370154
"272",0.454108823350877
"273",0.465624342822712
"274",0.477588043089496
"275",0.489753161410242
"276",0.502360192839789
"277",0.51495369779062
"278",0.528113036644403
"279",0.541542257145575
"280",0.555311016172696
"281",0.569624712455184
"282",0.584184412623343
"283",0.599169398904884
"284",0.614658327891849
"285",0.630279201984379
"286",0.646254998255425
"287",0.662913454754384
"288",0.680082750592751
"289",0.697548057954292
"290",0.71559107134298
"291",0.734025768424282
"292",0.753060923105726
"293",0.772315410573319
"294",0.792053628582348
"295",0.81250386186708
"296",0.833345351541111
"297",0.85473922716775
"298",0.87662411516291
"299",0.8991021562076
"300",0.922171411117636
"301",0.946008947118717
"302",0.970294622909
"303",0.995289237758572
"304",1.02070852066761
"305",1.04680142902944
"306",1.07361008430495
"307",1.10105415677019
"308",1.12944726578949
"309",1.15853493730597
"310",1.18833658145175
"311",1.21905053320987
"312",1.2502449686579
"313",1.28225013847219
"314",1.31526424224444
"315",1.34908644184829
"316",1.38386663542108
"317",1.41952298061817
"318",1.45594553298835
"319",1.49338025978587
"320",1.5316447917033
"321",1.57073622443441
"322",1.6112765060303
"323",1.65269512244871
"324",1.69528291699242
"325",1.73896884523844
"326",1.78368131991985
"327",1.8297180706875
"328",1.87692397540785
"329",1.92530577865075
"330",1.97475798315093
"331",2.02554544377814
"332",2.07773128516505
"333",2.13131158278168
"334",2.18632511748247
"335",2.24235599793833
"336",2.29996152169442
"337",2.35925229107975
"338",2.41966256164383
"339",2.48172903137525
"340",2.54568512337142
"341",2.61120698719929
"342",2.67825993860594
"343",2.7471738385188
"344",2.81781955034767
"345",2.89021643346154
"346",2.96442073637248
"347",3.04072086637931
"348",3.11891129518691
"349",3.19905045252791
"350",3.28142644014592
"351",3.36584519313907
"352",3.45217785781114
"353",3.54081414164853
"354",3.63210128175193
"355",3.72544787201378
"356",3.82133221060438
"357",3.91969622324691
"358",4.02051935444571
"359",4.12401722172521
"360",4.23016950843258
"361",4.33892106900647
"362",4.4505232932896
"363",4.56522712177967
"364",4.68326317515475
"365",4.80368332531399
"366",4.92730003851181
"367",5.05407619608665
"368",5.18413398559768
"369",5.31748684163466
"370",5.45424265105143
"371",5.59472105302074
"372",5.73848036601317
"373",5.88624002049089
"374",6.03774654280126
"375",6.19336218585886
"376",6.35253470681555
"377",6.51599845938506
"378",6.68380525995032
"379",6.85572070658006
"380",7.03212914725457
"381",7.21305538008089
"382",7.39897733563703
"383",7.58952634207641
"384",7.78500005463986
"385",7.98531157063639
"386",8.19094264706566
"387",8.40200258860919
"388",8.61855178205404
"389",8.84022056773778
"390",9.06795208100944
"391",9.30141784408805
"392",9.54076435227736
"393",9.78639448952709
"394",10.0387375149628
"395",10.2974659834011
"396",10.5627003196761
"397",10.8344763034207
"398",11.1137076759468
"399",11.3999825773109
"400",11.6929894243946
"401",11.9938843225218
"402",12.30251935593
"403",12.6194245416313
"404",12.9443446414142
"405",13.2783504484022
"406",13.6199673463774
"407",13.9701766936937
"408",14.3299769078611
"409",14.6987351711661
"410",15.0770476039918
"411",15.4654724289933
"412",15.863099656082
"413",16.2713786263645
"414",16.6899697778071
"415",17.1196770226761
"416",17.5602164477565
"417",18.0120734610373
"418",18.4754932583805
"419",18.9511732051242
"420",19.4390533221081
"421",19.9395208995933
"422",20.4529375091867
"423",20.979832569036
"424",21.5202358502755
"425",22.0743501870882
"426",22.6430590366028
"427",23.2261919148322
"428",23.8240823675608
"429",24.4375015038004
"430",25.0666700729762
"431",25.7120621304982
"432",26.3741261098994
"433",27.0530709750004
"434",27.7493160145185
"435",28.4636285788888
"436",29.1965261808086
"437",29.9478448591732
"438",30.719085386312
"439",31.5103222288823
"440",32.3219286125214
"441",33.1539414279746
"442",34.0070084509424
"443",34.8819851728646
"444",35.7801287200467
"445",36.7014917408632
"446",37.6461579804447
"447",38.6147885319769
"448",39.6089302943404
"449",40.628326535487
"450",41.6739447831058
"451",42.7468217808607
"452",43.8468984532163
"453",44.9759337145232
"454",46.1339106425221
"455",47.3211771825598
"456",48.5393913511013
"457",49.7890856144589
"458",51.0705851146052
"459",52.3855420622897
"460",53.7336303908799
"461",55.1164791120916
"462",56.5352658982512
"463",57.9901202859116
"464",59.4831693734708
"465",61.0145774464567
"466",62.5853082856595
"467",64.1966967227242
"468",65.849377139589
"469",67.5445647049407
"470",69.2834958961035
"471",71.0667031417678
"472",72.8954695137802
"473",74.7719806406089
"474",76.6959464727614
"475",78.6699388568793
"476",80.6938606074461
"477",82.7711437209215
"478",84.9011982550068
"479",87.0863663495776
"480",89.3274952994465
"481",91.6262180449302
"482",93.9842203128309
"483",96.4031558755818
"484",98.8841029108688
"485",101.429345788797
"486",104.038969131632
"487",106.717008765136
"488",109.462180537643
"489",112.278273302113
"490",115.166935417667
"491",118.129558217706
"492",121.168784744641
"493",124.286724756527
"494",127.484584230826
"495",130.764231444596
"496",134.129757965473
"497",137.580323004849
"498",141.120343124967
"499",144.750960758463
"500",148.474702521325
"501",152.2942667975
"502",156.2124756189
"503",160.230517506455
"504",164.352168940031
"505",168.58058023472
"506",172.918200890303
"507",177.365830590225
"508",181.928916960281
"509",186.607687646531
"510",191.406286214909
"511",196.329972112286
"512",201.378489740873
"513",206.55623626186
"514",211.867030629435
"515",217.314703015443
"516",222.902431068432
"517",228.63244257828
"518",234.51029271804
"519",240.540274056923
"520",246.725197083121
"521",253.067053302553
"522",259.572887748045
"523",266.245528339056
"524",273.08892922785
"525",280.109062643313
"526",287.307723006963
"527",294.691576378412
"528",302.26500994507
"529",310.032623084065
"530",318.000841480417
"531",326.171907477675
"532",334.551948974504
"533",343.147414232097
"534",351.963679438297
"535",361.005325063818
"536",370.279323900656
"537",379.790476579482
"538",389.54392778192
"539",399.548338486058
"540",409.808427680406
"541",420.332160141155
"542",431.125447444221
"543",442.195172295514
"544",453.546492025534
"545",465.188685152049
"546",477.129883322724
"547",489.375065314082
"548",501.936995064803
"549",514.817825835206
"550",528.027101736406
"551",541.574850595892
"552",555.467394943001
"553",569.716504950451
"554",584.329851954736
"555",599.315730232717
"556",614.685354249036
"557",630.447411334642
"558",646.612771705126
"559",663.187919330976
"560",680.189874124644
"561",697.624413855832
"562",715.502096843295
"563",733.835723383536
"564",752.637649120171
"565",771.919905221068
"566",791.69145565692
"567",811.968220115887
"568",832.761270472554
"569",854.084924891215
"570",875.951408560872
"571",898.370212345664
"572",921.360724757191
"573",944.934515286502
"574",969.110557458955
"575",993.900186100263
"576",1019.32099536884
"577",1045.38212027076
"578",1072.10901988464
"579",1099.51354278816
"580",1127.61473366099
"581",1156.42571657658
"582",1185.96606538604
"583",1216.25788713253
"584",1247.31741004289
"585",1279.16392415064
"586",1311.81507817667
"587",1345.28972080422
"588",1379.61211289279
"589",1414.80209173261
"590",1450.87986596493
"591",1487.86978536081
"592",1525.79370646441
"593",1564.67290527256
"594",1604.53298550315
"595",1645.39411054254
"596",1687.28390218197
"597",1730.22898927305
"598",1774.25409035948
"599",1819.38534510066
"600",1865.65171699325
"601",1913.07727465638
"602",1961.69140573434
