"","2.5%","25%","50%","75%","97.5%"
"lambda1",1.18559934923757,1.20534987326755,1.21327198981075,1.22078082939733,1.2364778422579
"lambda3",1.05907666011049,1.13139567395734,1.16146887884816,1.19676208795597,1.270352165153
"r",0.105327904348979,0.105360997967336,0.105375195816663,0.105384209688569,0.105391918421539
"lambda2",0.192560406286645,0.208116378439693,0.214956320969426,0.221804523731235,0.234127081276328
"sigma",0.512767620362636,0.517982254190558,0.520533324351541,0.522664296384943,0.526462150825437
"d",0.000389459978733621,0.000447392841158422,0.000481009083559591,0.000524443716858223,0.000637728253245347
"p",0.241311308097877,0.253588711931671,0.258179541115804,0.262227491735004,0.269092236232191
"cases_report",7,7,7,7,7
