Date,Confirmed,Deaths,Recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,1,0,0
28/01/2020,4,0,0
29/01/2020,4,0,0
30/01/2020,4,0,0
31/01/2020,5,0,0
01/02/2020,8,0,0
02/02/2020,10,0,0
03/02/2020,12,0,0
04/02/2020,12,0,0
05/02/2020,12,0,0
06/02/2020,12,0,0
07/02/2020,13,0,0
08/02/2020,13,0,0
09/02/2020,14,0,0
10/02/2020,14,0,0
11/02/2020,16,0,0
12/02/2020,16,0,0
13/02/2020,16,0,1
14/02/2020,16,0,1
15/02/2020,16,0,1
16/02/2020,16,0,1
17/02/2020,16,0,1
18/02/2020,16,0,12
19/02/2020,16,0,12
20/02/2020,16,0,12
21/02/2020,16,0,14
22/02/2020,16,0,14
23/02/2020,16,0,14
24/02/2020,16,0,14
25/02/2020,17,0,14
26/02/2020,27,0,15
27/02/2020,46,0,16
28/02/2020,48,0,16
29/02/2020,79,0,16
01/03/2020,130,0,16
02/03/2020,159,0,16
03/03/2020,196,0,16
04/03/2020,262,0,16
05/03/2020,482,0,16
06/03/2020,670,0,17
07/03/2020,799,0,18
08/03/2020,1040,0,18
09/03/2020,1176,2,18
10/03/2020,1457,2,18
11/03/2020,1908,3,25
12/03/2020,2078,3,25
13/03/2020,3675,7,46
14/03/2020,4585,9,46
15/03/2020,5795,11,46
16/03/2020,7272,17,67
17/03/2020,9257,24,67
18/03/2020,12327,28,105
19/03/2020,15320,44,113
20/03/2020,19848,67,180
21/03/2020,22213,84,233
22/03/2020,24873,94,266
23/03/2020,29056,123,266
24/03/2020,32986,157,3243
25/03/2020,37323,206,3547
26/03/2020,43938,267,5673
27/03/2020,50871,342,6658
28/03/2020,57695,433,8481
29/03/2020,62095,533,9211
30/03/2020,66885,645,13500
31/03/2020,71808,775,16100
01/04/2020,77872,920,18700
02/04/2020,84794,1107,22440
03/04/2020,91159,1275,24575
04/04/2020,96092,1444,26400
05/04/2020,100123,1584,28700
06/04/2020,103374,1810,28700
07/04/2020,107663,2016,36081
08/04/2020,113296,2349,46300
09/04/2020,118181,2607,52407
10/04/2020,122171,2767,53913
11/04/2020,124908,2736,57400
12/04/2020,127854,3022,60300
13/04/2020,130072,3194,64300
14/04/2020,131359,3294,68200
15/04/2020,134753,3804,72600
16/04/2020,137698,4052,77000
17/04/2020,141397,4352,83114
18/04/2020,143342,4459,85400
19/04/2020,145184,4586,88000
20/04/2020,147065,4862,91500
21/04/2020,148291,5033,95200
22/04/2020,150648,5279,99400
23/04/2020,153129,5575,103300
24/04/2020,154999,5760,109800
25/04/2020,156513,5877,109800
26/04/2020,157770,5976,112000
27/04/2020,158758,6126,114500
28/04/2020,159912,6314,117400
29/04/2020,161539,6467,120400
30/04/2020,163009,6623,123500
01/05/2020,164077,6736,126900
02/05/2020,164967,6812,129000
03/05/2020,165664,6866,130600
04/05/2020,166152,6993,132700
05/05/2020,167007,6993,135100
06/05/2020,168162,7275,139900
07/05/2020,169430,7392,141700
08/05/2020,170588,7510,141700
09/05/2020,171324,7549,143300
10/05/2020,171879,7569,144400
11/05/2020,172576,7661,145617
12/05/2020,173171,7738,147200
13/05/2020,174098,7861,148700
14/05/2020,174478,7884,150300
15/05/2020,175233,7897,151597
16/05/2020,175752,7938,152600
17/05/2020,176369,7962,154011
18/05/2020,176551,8003,155041
19/05/2020,177778,8081,155681
20/05/2020,178473,8144,156966
21/05/2020,179021,8203,158087
22/05/2020,179710,8228,159064
23/05/2020,179986,8261,159716
24/05/2020,180328,8283,160281
25/05/2020,180600,8309,161199
26/05/2020,181200,8372,161967
27/05/2020,181524,8428,162820
28/05/2020,182196,8470,163360
29/05/2020,182922,8504,164245
30/05/2020,183189,8530,164908
31/05/2020,183410,8540,165352
01/06/2020,183594,8555,165632
02/06/2020,183879,8563,166609
03/06/2020,184121,8602,167453
04/06/2020,184472,8635,167909
05/06/2020,184924,8658,168480
06/06/2020,185450,8673,168958
07/06/2020,185750,8685,169224
08/06/2020,186109,8695,169556
09/06/2020,186506,8736,170129
10/06/2020,186522,8752,170630
11/06/2020,186691,8772,170961
12/06/2020,187226,8783,171535
13/06/2020,187267,8793,171970
14/06/2020,187518,8801,172089
15/06/2020,187682,8807,172692
16/06/2020,188252,8820,172842
17/06/2020,188604,8851,173599
18/06/2020,189817,8875,173847
19/06/2020,190299,8887,173972
20/06/2020,190670,8895,174609
21/06/2020,191272,8895,174740
22/06/2020,191768,8899,175143
23/06/2020,192480,8914,175825
24/06/2020,192871,8928,176422
25/06/2020,193371,8940,176764
26/06/2020,194036,8965,177149
27/06/2020,194458,8968,177518
28/06/2020,194693,8968,177657
29/06/2020,195042,8976,177770
30/06/2020,195418,8990,178100
01/07/2020,195893,8995,179100
02/07/2020,196370,9006,179800
03/07/2020,196780,9010,180300
04/07/2020,197198,9020,181000
